"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3180:25:00","21.045","21.044","21.128","20.954"
"3180:25:00","21.045","21.044","21.128","20.954"
"3180:26:00","21.044","21.045","21.131","20.956"
"3180:27:00","21.047","21.046","21.134","20.956"
"3180:28:00","21.046","21.047","21.131","20.956"
"3180:29:00","21.047","21.048","21.135","20.960"
"3180:30:00","21.048","21.048","21.135","20.960"
"3180:31:00","21.050","21.048","21.136","20.958"
"3180:32:00","21.052","21.049","21.138","20.962"
"3180:33:00","21.052","21.050","21.139","20.962"
"3180:34:00","21.051","21.051","21.141","20.962"
"3180:35:00","21.052","21.051","21.142","20.963"
"3180:36:00","21.053","21.053","21.140","20.966"
"3180:37:00","21.053","21.052","21.142","20.967"
"3180:38:00","21.054","21.053","21.141","20.968"
"3180:39:00","21.056","21.056","21.144","20.968"
"3180:40:00","21.056","21.054","21.142","20.969"
"3180:41:00","21.058","21.056","21.142","20.969"
"3180:42:00","21.056","21.059","21.140","20.968"
"3180:43:00","21.057","21.058","21.140","20.970"
"3180:44:00","21.058","21.058","21.146","20.972"
"3180:45:00","21.057","21.058","21.145","20.972"
"3180:45:00","21.057","21.058","21.145","20.972"
"3180:46:00","21.056","21.059","21.147","20.973"
"3180:47:00","21.057","21.058","21.147","20.971"
"3180:48:00","21.055","21.058","21.147","20.970"
"3180:49:00","21.057","21.060","21.151","20.969"
"3180:50:00","21.058","21.060","21.153","20.973"
"3180:51:00","21.062","21.061","21.151","20.975"
"3180:52:00","21.060","21.062","21.153","20.972"
"3180:53:00","21.062","21.063","21.152","20.973"
"3180:54:00","21.063","21.063","21.152","20.974"
"3180:55:00","21.063","21.063","21.152","20.975"
"3180:56:00","21.063","21.064","21.153","20.977"
"3180:57:00","21.063","21.064","21.157","20.977"
"3180:58:00","21.064","21.064","21.155","20.978"
"3180:59:00","21.062","21.066","21.156","20.980"
"3181:00:00","21.062","21.067","21.156","20.982"
"3181:01:00","21.066","21.066","21.155","20.982"
"3181:02:00","21.063","21.065","21.159","20.981"
"3181:03:00","21.064","21.070","21.159","20.981"
"3181:04:00","21.064","21.069","21.160","20.980"
"3181:05:00","21.066","21.069","21.162","20.983"
"3181:05:00","21.066","21.069","21.162","20.983"
"3181:06:00","21.065","21.068","21.162","20.983"
"3181:07:00","21.066","21.070","21.159","20.983"
"3181:08:00","21.066","21.070","21.159","20.984"
"3181:09:00","21.065","21.071","21.157","20.987"
"3181:10:00","21.065","21.069","21.156","20.984"
"3181:11:00","21.067","21.070","21.155","20.983"
"3181:12:00","21.066","21.069","21.157","20.980"
"3181:13:00","21.068","21.071","21.158","20.980"
"3181:14:00","21.066","21.071","21.156","20.982"
"3181:15:00","21.066","21.070","21.154","20.980"
"3181:16:00","21.065","21.071","21.158","20.979"
"3181:17:00","21.067","21.071","21.158","20.977"
"3181:18:00","21.066","21.069","21.155","20.975"
"3181:19:00","21.068","21.071","21.154","20.975"
"3181:20:00","21.066","21.072","21.154","20.974"
