"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3235:23:00","21.149","21.168","21.246","21.066"
"3235:24:00","21.149","21.167","21.245","21.066"
"3235:25:00","21.151","21.169","21.240","21.064"
"3235:25:00","21.151","21.169","21.240","21.064"
"3235:26:00","21.149","21.168","21.238","21.065"
"3235:27:00","21.150","21.168","21.239","21.066"
"3235:28:00","21.150","21.165","21.238","21.062"
"3235:29:00","21.150","21.167","21.239","21.063"
"3235:30:00","21.149","21.166","21.238","21.064"
"3235:31:00","21.148","21.166","21.239","21.061"
"3235:32:00","21.151","21.165","21.240","21.062"
"3235:33:00","21.150","21.168","21.239","21.062"
"3235:34:00","21.149","21.167","21.238","21.060"
"3235:35:00","21.149","21.166","21.235","21.062"
"3235:36:00","21.149","21.166","21.236","21.061"
"3235:37:00","21.150","21.166","21.240","21.061"
"3235:38:00","21.150","21.167","21.240","21.063"
"3235:39:00","21.149","21.168","21.242","21.065"
"3235:40:00","21.150","21.168","21.242","21.065"
"3235:41:00","21.149","21.168","21.240","21.064"
"3235:42:00","21.149","21.166","21.243","21.064"
"3235:43:00","21.149","21.166","21.241","21.062"
"3235:44:00","21.148","21.165","21.240","21.061"
"3235:45:00","21.149","21.166","21.240","21.061"
"3235:45:00","21.149","21.166","21.240","21.061"
"3235:46:00","21.148","21.165","21.242","21.060"
"3235:47:00","21.146","21.165","21.241","21.063"
"3235:48:00","21.146","21.166","21.242","21.061"
"3235:49:00","21.149","21.165","21.241","21.064"
"3235:50:00","21.148","21.167","21.240","21.064"
"3235:51:00","21.148","21.165","21.238","21.061"
"3235:52:00","21.149","21.164","21.240","21.060"
"3235:53:00","21.145","21.165","21.240","21.061"
"3235:54:00","21.146","21.164","21.240","21.061"
"3235:55:00","21.144","21.166","21.241","21.065"
"3235:56:00","21.144","21.166","21.240","21.063"
"3235:57:00","21.150","21.167","21.241","21.063"
"3235:58:00","21.149","21.165","21.242","21.063"
"3235:59:00","21.149","21.166","21.243","21.064"
"3236:00:00","21.148","21.166","21.246","21.064"
"3236:01:00","21.149","21.165","21.240","21.062"
"3236:02:00","21.148","21.166","21.240","21.063"
"3236:03:00","21.148","21.167","21.241","21.064"
"3236:04:00","21.149","21.168","21.244","21.063"
"3236:05:00","21.148","21.167","21.243","21.062"
"3236:05:00","21.148","21.167","21.243","21.062"
"3236:06:00","21.149","21.166","21.243","21.061"
"3236:07:00","21.150","21.166","21.244","21.063"
"3236:08:00","21.150","21.167","21.242","21.064"
"3236:09:00","21.150","21.167","21.242","21.063"
"3236:10:00","21.150","21.167","21.241","21.064"
"3236:11:00","21.149","21.167","21.242","21.064"
"3236:12:00","21.150","21.168","21.242","21.064"
"3236:13:00","21.150","21.167","21.245","21.067"
"3236:14:00","21.152","21.168","21.245","21.067"
"3236:15:00","21.149","21.169","21.243","21.066"
"3236:16:00","21.151","21.168","21.243","21.069"
"3236:17:00","21.151","21.168","21.245","21.069"
"3236:18:00","21.150","21.171","21.245","21.068"
"3236:19:00","21.150","21.168","21.248","21.067"
"3236:20:00","21.151","21.170","21.248","21.066"
"3236:21:00","21.152","21.168","21.248","21.066"
"3236:22:00","21.152","21.167","21.247","21.066"
"3236:23:00","21.151","21.167","21.247","21.068"
"3236:24:00","21.151","21.171","21.248","21.069"
"3236:25:00","21.150","21.170","21.246","21.068"
"3236:25:00","21.150","21.170","21.246","21.068"
"3236:26:00","21.150","21.169","21.247","21.066"
"3236:27:00","21.151","21.169","21.245","21.066"
"3236:28:00","21.148","21.168","21.244","21.065"
"3236:29:00","21.149","21.168","21.244","21.065"
"3236:30:00","21.149","21.168","21.244","21.063"
"3236:31:00","21.151","21.168","21.244","21.065"
"3236:32:00","21.153","21.168","21.244","21.065"
"3236:33:00","21.153","21.169","21.244","21.063"
"3236:34:00","21.152","21.169","21.243","21.062"
"3236:35:00","21.152","21.168","21.247","21.065"
"3236:36:00","21.150","21.171","21.246","21.065"
"3236:37:00","21.151","21.168","21.245","21.064"
"3236:38:00","21.151","21.170","21.245","21.065"
"3236:39:00","21.152","21.168","21.245","21.066"
"3236:40:00","21.152","21.170","21.246","21.066"
"3236:41:00","21.151","21.170","21.246","21.065"
"3236:42:00","21.153","21.168","21.243","21.065"
"3236:43:00","21.153","21.168","21.243","21.067"
"3236:44:00","21.153","21.169","21.243","21.065"
"3236:45:00","21.151","21.168","21.243","21.064"
"3236:45:00","21.151","21.168","21.243","21.064"
"3236:46:00","21.153","21.169","21.245","21.068"
"3236:47:00","21.151","21.169","21.248","21.071"
"3236:48:00","21.154","21.168","21.248","21.070"
"3236:49:00","21.153","21.168","21.243","21.067"
"3236:50:00","21.154","21.170","21.248","21.065"
"3236:51:00","21.155","21.170","21.249","21.064"
"3236:52:00","21.154","21.168","21.246","21.062"
"3236:53:00","21.156","21.169","21.247","21.063"
"3236:54:00","21.157","21.169","21.246","21.065"
"3236:55:00","21.155","21.169","21.245","21.066"
"3236:56:00","21.155","21.168","21.248","21.063"
"3236:57:00","21.155","21.169","21.247","21.066"
"3236:58:00","21.154","21.171","21.246","21.066"
"3236:59:00","21.154","21.170","21.246","21.067"
"3237:00:00","21.152","21.170","21.248","21.066"
"3237:01:00","21.153","21.169","21.247","21.064"
"3237:02:00","21.153","21.170","21.244","21.066"
"3237:03:00","21.154","21.168","21.244","21.063"
"3237:04:00","21.153","21.169","21.243","21.061"
"3237:05:00","21.153","21.167","21.244","21.061"
"3237:05:00","21.153","21.167","21.244","21.061"
"3237:06:00","21.154","21.167","21.241","21.062"
"3237:07:00","21.153","21.166","21.243","21.059"
"3237:08:00","21.153","21.167","21.244","21.060"
"3237:09:00","21.151","21.166","21.244","21.062"
"3237:10:00","21.150","21.166","21.245","21.063"
"3237:11:00","21.153","21.167","21.245","21.065"
"3237:12:00","21.153","21.169","21.247","21.067"
"3237:13:00","21.153","21.170","21.245","21.069"
"3237:14:00","21.153","21.172","21.245","21.067"
"3237:15:00","21.150","21.170","21.243","21.067"
"3237:16:00","21.152","21.171","21.242","21.069"
"3237:17:00","21.152","21.170","21.243","21.065"
"3237:18:00","21.154","21.169","21.242","21.065"
"3237:19:00","21.153","21.169","21.244","21.064"
"3237:20:00","21.151","21.168","21.242","21.063"
"3237:21:00","21.151","21.168","21.244","21.064"
"3237:22:00","21.152","21.169","21.243","21.064"
"3237:23:00","21.152","21.167","21.242","21.065"
"3237:24:00","21.150","21.170","21.246","21.067"
"3237:25:00","21.152","21.170","21.250","21.067"
"3237:25:00","21.152","21.170","21.250","21.067"
"3237:26:00","21.151","21.169","21.247","21.069"
"3237:27:00","21.152","21.171","21.244","21.068"
"3237:28:00","21.153","21.170","21.245","21.068"
"3237:29:00","21.154","21.170","21.245","21.067"
"3237:30:00","21.152","21.171","21.248","21.065"
"3237:31:00","21.153","21.171","21.245","21.066"
"3237:32:00","21.153","21.172","21.246","21.068"
"3237:33:00","21.153","21.172","21.245","21.068"
"3237:34:00","21.151","21.170","21.245","21.064"
"3237:35:00","21.152","21.170","21.249","21.065"
"3237:36:00","21.152","21.169","21.249","21.067"
"3237:37:00","21.152","21.169","21.247","21.065"
"3237:38:00","21.151","21.168","21.245","21.064"
"3237:39:00","21.152","21.169","21.246","21.063"
"3237:40:00","21.152","21.169","21.245","21.064"
"3237:41:00","21.153","21.167","21.244","21.062"
"3237:42:00","21.152","21.167","21.244","21.063"
"3237:43:00","21.150","21.169","21.244","21.063"
"3237:44:00","21.150","21.170","21.245","21.064"
"3237:45:00","21.150","21.167","21.242","21.063"
"3237:45:00","21.150","21.167","21.242","21.063"
"3237:46:00","21.151","21.167","21.243","21.065"
"3237:47:00","21.150","21.167","21.249","21.065"
"3237:48:00","21.150","21.170","21.247","21.067"
"3237:49:00","21.152","21.170","21.249","21.068"
"3237:50:00","21.151","21.171","21.247","21.068"
"3237:51:00","21.151","21.170","21.247","21.068"
"3237:52:00","21.151","21.168","21.246","21.069"
"3237:53:00","21.153","21.170","21.242","21.069"
"3237:54:00","21.153","21.172","21.244","21.068"
"3237:55:00","21.154","21.172","21.245","21.069"
"3237:56:00","21.154","21.171","21.246","21.070"
"3237:57:00","21.153","21.172","21.242","21.068"
"3237:58:00","21.152","21.171","21.240","21.068"
"3237:59:00","21.152","21.172","21.244","21.069"
"3238:00:00","21.152","21.171","21.243","21.070"
"3238:01:00","21.153","21.170","21.245","21.069"
"3238:02:00","21.152","21.170","21.244","21.069"
"3238:03:00","21.153","21.171","21.244","21.069"
"3238:04:00","21.154","21.170","21.244","21.071"
"3238:05:00","21.153","21.172","21.244","21.068"
"3238:05:00","21.153","21.172","21.244","21.068"
"3238:06:00","21.153","21.172","21.245","21.071"
"3238:07:00","21.153","21.172","21.248","21.073"
"3238:08:00","21.152","21.171","21.248","21.070"
"3238:09:00","21.153","21.171","21.253","21.071"
"3238:10:00","21.153","21.172","21.255","21.072"
"3238:11:00","21.152","21.173","21.255","21.071"
"3238:12:00","21.154","21.171","21.252","21.068"
"3238:13:00","21.155","21.173","21.252","21.068"
"3238:14:00","21.154","21.174","21.251","21.069"
"3238:15:00","21.152","21.174","21.249","21.070"
"3238:16:00","21.154","21.173","21.249","21.070"
"3238:17:00","21.156","21.173","21.251","21.072"
"3238:18:00","21.155","21.172","21.253","21.075"
"3238:19:00","21.156","21.173","21.250","21.076"
"3238:20:00","21.156","21.173","21.250","21.077"
"3238:21:00","21.156","21.174","21.249","21.077"
"3238:22:00","21.157","21.174","21.252","21.075"
"3238:23:00","21.157","21.176","21.253","21.075"
"3238:24:00","21.158","21.174","21.254","21.074"
"3238:25:00","21.155","21.174","21.252","21.075"
"3238:25:00","21.155","21.174","21.252","21.075"
"3238:26:00","21.157","21.174","21.249","21.076"
"3238:27:00","21.157","21.174","21.249","21.072"
"3238:28:00","21.157","21.175","21.252","21.070"
"3238:29:00","21.155","21.174","21.250","21.071"
"3238:30:00","21.157","21.172","21.252","21.067"
"3238:31:00","21.156","21.172","21.252","21.067"
"3238:32:00","21.156","21.173","21.249","21.067"
"3238:33:00","21.156","21.172","21.247","21.069"
"3238:34:00","21.156","21.171","21.249","21.066"
"3238:35:00","21.156","21.172","21.249","21.069"
"3238:36:00","21.157","21.173","21.248","21.069"
"3238:37:00","21.156","21.174","21.247","21.068"
"3238:38:00","21.156","21.174","21.249","21.068"
"3238:39:00","21.155","21.173","21.249","21.070"
"3238:40:00","21.155","21.175","21.252","21.074"
"3238:41:00","21.154","21.175","21.249","21.074"
"3238:42:00","21.157","21.175","21.249","21.072"
"3238:43:00","21.157","21.174","21.251","21.073"
"3238:44:00","21.158","21.173","21.251","21.070"
"3238:45:00","21.156","21.173","21.248","21.070"
"3238:45:00","21.156","21.173","21.248","21.070"
"3238:46:00","21.157","21.173","21.249","21.069"
"3238:47:00","21.156","21.172","21.249","21.071"
"3238:48:00","21.157","21.172","21.253","21.070"
"3238:49:00","21.156","21.174","21.251","21.069"
"3238:50:00","21.158","21.174","21.253","21.071"
"3238:51:00","21.157","21.174","21.253","21.071"
"3238:52:00","21.157","21.176","21.255","21.072"
"3238:53:00","21.156","21.174","21.254","21.069"
"3238:54:00","21.157","21.173","21.256","21.067"
"3238:55:00","21.156","21.173","21.257","21.069"
"3238:56:00","21.158","21.175","21.254","21.068"
"3238:57:00","21.158","21.174","21.251","21.070"
"3238:58:00","21.157","21.172","21.252","21.067"
"3238:59:00","21.155","21.174","21.254","21.067"
"3239:00:00","21.156","21.173","21.254","21.070"
"3239:01:00","21.154","21.174","21.253","21.070"
"3239:02:00","21.154","21.175","21.252","21.071"
"3239:03:00","21.153","21.173","21.250","21.071"
"3239:04:00","21.153","21.173","21.251","21.070"
"3239:05:00","21.156","21.172","21.252","21.069"
"3239:05:00","21.156","21.172","21.252","21.069"
"3239:06:00","21.154","21.173","21.252","21.070"
"3239:07:00","21.153","21.173","21.250","21.070"
"3239:08:00","21.154","21.172","21.250","21.068"
"3239:09:00","21.153","21.172","21.251","21.071"
"3239:10:00","21.156","21.173","21.251","21.069"
"3239:11:00","21.154","21.173","21.252","21.070"
"3239:12:00","21.154","21.171","21.248","21.068"
"3239:13:00","21.155","21.172","21.249","21.068"
"3239:14:00","21.153","21.170","21.250","21.065"
"3239:15:00","21.154","21.170","21.248","21.067"
"3239:16:00","21.153","21.172","21.246","21.067"
"3239:17:00","21.153","21.171","21.247","21.068"
"3239:18:00","21.153","21.171","21.244","21.065"
"3239:19:00","21.152","21.172","21.245","21.066"
"3239:20:00","21.154","21.172","21.247","21.067"
"3239:21:00","21.152","21.170","21.247","21.070"
"3239:22:00","21.153","21.170","21.244","21.069"
"3239:23:00","21.154","21.171","21.245","21.068"
"3239:24:00","21.154","21.172","21.245","21.067"
"3239:25:00","21.154","21.171","21.245","21.067"
"3239:25:00","21.154","21.171","21.245","21.067"
"3239:26:00","21.152","21.171","21.246","21.067"
"3239:27:00","21.154","21.171","21.247","21.067"
"3239:28:00","21.155","21.172","21.248","21.066"
"3239:29:00","21.154","21.170","21.248","21.066"
"3239:30:00","21.154","21.171","21.246","21.066"
"3239:31:00","21.154","21.170","21.245","21.067"
"3239:32:00","21.154","21.170","21.245","21.066"
"3239:33:00","21.153","21.171","21.244","21.065"
"3239:34:00","21.153","21.172","21.245","21.065"
"3239:35:00","21.154","21.171","21.246","21.066"
"3239:36:00","21.152","21.169","21.249","21.066"
"3239:37:00","21.152","21.170","21.249","21.068"
"3239:38:00","21.154","21.171","21.247","21.069"
"3239:39:00","21.152","21.171","21.247","21.071"
"3239:40:00","21.153","21.171","21.247","21.071"
"3239:41:00","21.153","21.170","21.248","21.070"
"3239:42:00","21.152","21.170","21.251","21.069"
"3239:43:00","21.155","21.172","21.254","21.070"
"3239:44:00","21.155","21.173","21.254","21.074"
"3239:45:00","21.156","21.175","21.251","21.073"
"3239:45:00","21.156","21.175","21.251","21.073"
"3239:46:00","21.157","21.172","21.252","21.070"
"3239:47:00","21.158","21.176","21.252","21.069"
"3239:48:00","21.156","21.174","21.252","21.072"
"3239:49:00","21.156","21.175","21.249","21.072"
"3239:50:00","21.156","21.175","21.248","21.071"
"3239:51:00","21.157","21.175","21.247","21.073"
"3239:52:00","21.157","21.176","21.249","21.072"
"3239:53:00","21.158","21.175","21.246","21.072"
"3239:54:00","21.156","21.174","21.246","21.072"
"3239:55:00","21.156","21.174","21.244","21.069"
"3239:56:00","21.155","21.173","21.246","21.071"
"3239:57:00","21.154","21.174","21.247","21.069"
"3239:58:00","21.154","21.171","21.247","21.068"
"3239:59:00","21.153","21.171","21.245","21.067"
"3240:00:00","21.153","21.173","21.246","21.069"
"3240:01:00","21.154","21.173","21.250","21.070"
"3240:02:00","21.154","21.171","21.250","21.069"
"3240:03:00","21.153","21.173","21.252","21.072"
"3240:04:00","21.155","21.175","21.253","21.073"
"3240:05:00","21.154","21.172","21.256","21.075"
"3240:05:00","21.154","21.172","21.256","21.075"
"3240:06:00","21.154","21.176","21.259","21.077"
"3240:07:00","21.157","21.175","21.259","21.076"
"3240:08:00","21.155","21.176","21.260","21.079"
"3240:09:00","21.156","21.177","21.260","21.077"
"3240:10:00","21.156","21.175","21.259","21.075"
"3240:11:00","21.157","21.176","21.259","21.076"
"3240:12:00","21.158","21.175","21.258","21.075"
"3240:13:00","21.155","21.176","21.258","21.076"
"3240:14:00","21.157","21.178","21.261","21.078"
"3240:15:00","21.158","21.179","21.260","21.080"
"3240:16:00","21.160","21.177","21.259","21.080"
"3240:17:00","21.160","21.178","21.259","21.080"
"3240:18:00","21.161","21.178","21.258","21.080"
"3240:19:00","21.159","21.178","21.258","21.078"
"3240:20:00","21.161","21.179","21.258","21.078"
"3240:21:00","21.159","21.180","21.259","21.079"
"3240:22:00","21.161","21.181","21.258","21.081"
"3240:23:00","21.160","21.180","21.258","21.079"
"3240:24:00","21.162","21.176","21.258","21.079"
"3240:25:00","21.161","21.176","21.258","21.077"
"3240:25:00","21.161","21.176","21.258","21.077"
"3240:26:00","21.163","21.177","21.260","21.077"
"3240:27:00","21.159","21.178","21.260","21.079"
"3240:28:00","21.161","21.179","21.258","21.078"
"3240:29:00","21.160","21.177","21.258","21.074"
"3240:30:00","21.160","21.178","21.258","21.075"
"3240:31:00","21.159","21.177","21.261","21.074"
"3240:32:00","21.160","21.178","21.261","21.074"
"3240:33:00","21.160","21.178","21.258","21.075"
"3240:34:00","21.160","21.177","21.258","21.075"
"3240:35:00","21.159","21.178","21.254","21.075"
"3240:36:00","21.160","21.180","21.254","21.075"
"3240:37:00","21.158","21.180","21.257","21.074"
"3240:38:00","21.160","21.177","21.256","21.076"
"3240:39:00","21.161","21.177","21.255","21.075"
"3240:40:00","21.159","21.176","21.252","21.070"
"3240:41:00","21.159","21.176","21.252","21.067"
"3240:42:00","21.159","21.177","21.254","21.069"
"3240:43:00","21.158","21.175","21.256","21.072"
"3240:44:00","21.158","21.176","21.255","21.070"
"3240:45:00","21.158","21.178","21.256","21.073"
"3240:45:00","21.158","21.178","21.256","21.073"
"3240:46:00","21.157","21.176","21.256","21.072"
"3240:47:00","21.157","21.177","21.259","21.073"
"3240:48:00","21.158","21.179","21.260","21.074"
"3240:49:00","21.159","21.177","21.256","21.076"
"3240:50:00","21.156","21.178","21.256","21.076"
"3240:51:00","21.158","21.177","21.255","21.078"
"3240:52:00","21.156","21.178","21.256","21.078"
"3240:53:00","21.157","21.179","21.255","21.077"
"3240:54:00","21.161","21.178","21.259","21.077"
"3240:55:00","21.159","21.177","21.258","21.077"
"3240:56:00","21.159","21.178","21.258","21.077"
"3240:57:00","21.161","21.180","21.256","21.075"
"3240:58:00","21.158","21.180","21.256","21.077"
"3240:59:00","21.158","21.179","21.257","21.077"
"3241:00:00","21.160","21.178","21.258","21.075"
"3241:01:00","21.159","21.178","21.257","21.080"
"3241:02:00","21.160","21.181","21.255","21.080"
"3241:03:00","21.161","21.182","21.252","21.079"
"3241:04:00","21.162","21.181","21.255","21.078"
"3241:05:00","21.161","21.181","21.255","21.079"
"3241:05:00","21.161","21.181","21.255","21.079"
"3241:06:00","21.160","21.180","21.256","21.078"
"3241:07:00","21.160","21.182","21.256","21.078"
"3241:08:00","21.163","21.180","21.254","21.080"
"3241:09:00","21.161","21.179","21.255","21.079"
"3241:10:00","21.162","21.180","21.256","21.078"
"3241:11:00","21.160","21.179","21.255","21.076"
"3241:12:00","21.162","21.180","21.255","21.076"
"3241:13:00","21.160","21.181","21.256","21.077"
"3241:14:00","21.160","21.179","21.253","21.073"
"3241:15:00","21.158","21.178","21.256","21.074"
"3241:16:00","21.159","21.179","21.258","21.077"
"3241:17:00","21.161","21.179","21.257","21.079"
"3241:18:00","21.159","21.179","21.260","21.079"
"3241:19:00","21.160","21.180","21.258","21.076"
"3241:20:00","21.162","21.179","21.256","21.078"
"3241:21:00","21.162","21.180","21.256","21.079"
"3241:22:00","21.161","21.179","21.258","21.080"
"3241:23:00","21.160","21.179","21.257","21.080"
"3241:24:00","21.162","21.183","21.259","21.082"
"3241:25:00","21.162","21.180","21.261","21.080"
"3241:25:00","21.162","21.180","21.261","21.080"
"3241:26:00","21.161","21.180","21.258","21.078"
"3241:27:00","21.159","21.181","21.257","21.078"
"3241:28:00","21.161","21.182","21.258","21.080"
"3241:29:00","21.163","21.180","21.260","21.080"
"3241:30:00","21.163","21.180","21.259","21.078"
"3241:31:00","21.162","21.181","21.261","21.079"
"3241:32:00","21.164","21.180","21.262","21.080"
"3241:33:00","21.164","21.181","21.261","21.075"
"3241:34:00","21.163","21.182","21.262","21.077"
"3241:35:00","21.162","21.179","21.262","21.079"
"3241:36:00","21.161","21.178","21.261","21.078"
"3241:37:00","21.162","21.179","21.262","21.078"
"3241:38:00","21.160","21.181","21.260","21.078"
"3241:39:00","21.161","21.179","21.260","21.078"
"3241:40:00","21.163","21.180","21.261","21.076"
"3241:41:00","21.161","21.181","21.263","21.078"
"3241:42:00","21.161","21.179","21.260","21.078"
"3241:43:00","21.160","21.180","21.261","21.080"
"3241:44:00","21.161","21.180","21.260","21.078"
"3241:45:00","21.163","21.180","21.261","21.079"
"3241:45:00","21.163","21.180","21.261","21.079"
"3241:46:00","21.163","21.181","21.262","21.079"
"3241:47:00","21.162","21.182","21.261","21.078"
"3241:48:00","21.162","21.182","21.261","21.079"
"3241:49:00","21.161","21.180","21.259","21.079"
"3241:50:00","21.163","21.180","21.256","21.076"
"3241:51:00","21.164","21.180","21.259","21.076"
"3241:52:00","21.163","21.180","21.261","21.077"
"3241:53:00","21.163","21.182","21.260","21.077"
"3241:54:00","21.161","21.181","21.259","21.079"
"3241:55:00","21.160","21.182","21.258","21.079"
"3241:56:00","21.162","21.179","21.256","21.078"
"3241:57:00","21.161","21.180","21.258","21.078"
"3241:58:00","21.161","21.181","21.260","21.081"
"3241:59:00","21.161","21.182","21.259","21.079"
"3242:00:00","21.160","21.182","21.259","21.081"
"3242:01:00","21.160","21.182","21.258","21.081"
"3242:02:00","21.161","21.181","21.255","21.079"
"3242:03:00","21.160","21.183","21.257","21.080"
"3242:04:00","21.161","21.183","21.257","21.080"
"3242:05:00","21.160","21.182","21.257","21.081"
"3242:05:00","21.160","21.182","21.257","21.081"
"3242:06:00","21.160","21.181","21.254","21.079"
"3242:07:00","21.161","21.182","21.253","21.077"
"3242:08:00","21.161","21.181","21.255","21.076"
"3242:09:00","21.160","21.179","21.253","21.077"
"3242:10:00","21.159","21.180","21.253","21.076"
"3242:11:00","21.159","21.178","21.253","21.078"
"3242:12:00","21.159","21.181","21.251","21.077"
"3242:13:00","21.158","21.181","21.251","21.076"
"3242:14:00","21.159","21.181","21.253","21.076"
"3242:15:00","21.160","21.180","21.251","21.077"
"3242:16:00","21.157","21.180","21.255","21.075"
"3242:17:00","21.158","21.179","21.253","21.075"
"3242:18:00","21.159","21.179","21.252","21.073"
"3242:19:00","21.161","21.178","21.254","21.073"
"3242:20:00","21.161","21.178","21.253","21.072"
"3242:21:00","21.160","21.181","21.252","21.072"
"3242:22:00","21.161","21.179","21.254","21.073"
"3242:23:00","21.160","21.179","21.252","21.074"
"3242:24:00","21.159","21.179","21.253","21.076"
"3242:25:00","21.160","21.177","21.251","21.075"
"3242:25:00","21.160","21.177","21.251","21.075"
"3242:26:00","21.160","21.177","21.249","21.073"
"3242:27:00","21.159","21.178","21.252","21.073"
"3242:28:00","21.157","21.178","21.253","21.074"
"3242:29:00","21.157","21.179","21.253","21.076"
"3242:30:00","21.158","21.180","21.257","21.077"
"3242:31:00","21.158","21.179","21.256","21.077"
"3242:32:00","21.160","21.179","21.254","21.077"
"3242:33:00","21.159","21.179","21.254","21.079"
"3242:34:00","21.159","21.179","21.251","21.077"
"3242:35:00","21.160","21.181","21.248","21.078"
"3242:36:00","21.159","21.179","21.246","21.077"
"3242:37:00","21.159","21.180","21.246","21.075"
"3242:38:00","21.157","21.179","21.248","21.075"
"3242:39:00","21.157","21.180","21.248","21.077"
"3242:40:00","21.156","21.182","21.248","21.076"
"3242:41:00","21.158","21.179","21.249","21.076"
"3242:42:00","21.157","21.181","21.250","21.076"
"3242:43:00","21.160","21.178","21.248","21.077"
"3242:44:00","21.159","21.178","21.248","21.077"
"3242:45:00","21.158","21.179","21.250","21.077"
"3242:45:00","21.158","21.179","21.250","21.077"
"3242:46:00","21.158","21.178","21.247","21.076"
"3242:47:00","21.157","21.179","21.250","21.074"
"3242:48:00","21.155","21.180","21.250","21.078"
"3242:49:00","21.157","21.179","21.248","21.079"
"3242:50:00","21.156","21.180","21.252","21.081"
"3242:51:00","21.158","21.179","21.251","21.081"
"3242:52:00","21.155","21.178","21.250","21.077"
"3242:53:00","21.158","21.178","21.249","21.076"
"3242:54:00","21.158","21.180","21.247","21.075"
"3242:55:00","21.156","21.176","21.244","21.074"
"3242:56:00","21.158","21.178","21.245","21.071"
"3242:57:00","21.157","21.178","21.245","21.071"
"3242:58:00","21.156","21.177","21.245","21.071"
"3242:59:00","21.157","21.178","21.246","21.074"
"3243:00:00","21.158","21.178","21.245","21.073"
"3243:01:00","21.158","21.178","21.247","21.074"
"3243:02:00","21.158","21.178","21.245","21.077"
"3243:03:00","21.158","21.178","21.247","21.075"
"3243:04:00","21.156","21.181","21.247","21.077"
"3243:05:00","21.157","21.178","21.248","21.077"
"3243:05:00","21.157","21.178","21.248","21.077"
"3243:06:00","21.158","21.178","21.247","21.077"
"3243:07:00","21.157","21.177","21.246","21.076"
"3243:08:00","21.158","21.177","21.244","21.074"
"3243:09:00","21.156","21.177","21.245","21.072"
"3243:10:00","21.156","21.177","21.245","21.073"
"3243:11:00","21.156","21.178","21.245","21.075"
"3243:12:00","21.156","21.177","21.246","21.074"
"3243:13:00","21.156","21.177","21.245","21.074"
"3243:14:00","21.158","21.177","21.245","21.074"
"3243:15:00","21.157","21.178","21.243","21.074"
"3243:16:00","21.156","21.175","21.244","21.072"
"3243:17:00","21.157","21.175","21.244","21.070"
"3243:18:00","21.154","21.175","21.246","21.069"
"3243:19:00","21.156","21.176","21.246","21.069"
"3243:20:00","21.153","21.175","21.243","21.068"
"3243:21:00","21.154","21.175","21.240","21.067"
"3243:22:00","21.154","21.173","21.241","21.065"
"3243:23:00","21.154","21.173","21.242","21.066"
"3243:24:00","21.155","21.174","21.240","21.066"
"3243:25:00","21.154","21.174","21.241","21.068"
"3243:25:00","21.154","21.174","21.241","21.068"
"3243:26:00","21.154","21.175","21.242","21.069"
"3243:27:00","21.155","21.174","21.245","21.068"
"3243:28:00","21.154","21.175","21.246","21.070"
"3243:29:00","21.154","21.174","21.247","21.072"
"3243:30:00","21.155","21.176","21.249","21.075"
"3243:31:00","21.156","21.175","21.252","21.073"
"3243:32:00","21.155","21.175","21.250","21.074"
"3243:33:00","21.157","21.177","21.252","21.074"
"3243:34:00","21.156","21.177","21.250","21.074"
"3243:35:00","21.155","21.174","21.251","21.073"
"3243:36:00","21.154","21.176","21.252","21.074"
"3243:37:00","21.154","21.176","21.252","21.075"
"3243:38:00","21.155","21.176","21.250","21.078"
"3243:39:00","21.155","21.176","21.253","21.077"
"3243:40:00","21.157","21.178","21.256","21.079"
"3243:41:00","21.158","21.177","21.256","21.078"
"3243:42:00","21.159","21.178","21.254","21.079"
"3243:43:00","21.159","21.178","21.254","21.080"
"3243:44:00","21.160","21.180","21.254","21.081"
"3243:45:00","21.158","21.178","21.252","21.081"
"3243:45:00","21.158","21.178","21.252","21.081"
"3243:46:00","21.157","21.177","21.251","21.080"
"3243:47:00","21.158","21.177","21.252","21.080"
"3243:48:00","21.158","21.178","21.252","21.079"
"3243:49:00","21.159","21.180","21.252","21.078"
"3243:50:00","21.159","21.180","21.251","21.080"
"3243:51:00","21.160","21.178","21.253","21.080"
"3243:52:00","21.161","21.179","21.252","21.077"
"3243:53:00","21.161","21.179","21.252","21.078"
"3243:54:00","21.160","21.178","21.250","21.076"
"3243:55:00","21.160","21.180","21.252","21.075"
"3243:56:00","21.158","21.178","21.252","21.075"
"3243:57:00","21.160","21.178","21.253","21.077"
"3243:58:00","21.161","21.179","21.253","21.077"
"3243:59:00","21.160","21.177","21.253","21.075"
"3244:00:00","21.160","21.176","21.253","21.073"
"3244:01:00","21.161","21.176","21.255","21.075"
"3244:02:00","21.157","21.177","21.255","21.076"
"3244:03:00","21.159","21.178","21.251","21.076"
"3244:04:00","21.160","21.178","21.253","21.078"
"3244:05:00","21.159","21.179","21.251","21.075"
"3244:05:00","21.159","21.179","21.251","21.075"
"3244:06:00","21.157","21.178","21.250","21.076"
"3244:07:00","21.158","21.177","21.253","21.074"
"3244:08:00","21.157","21.175","21.251","21.073"
"3244:09:00","21.158","21.176","21.251","21.072"
"3244:10:00","21.160","21.178","21.248","21.071"
"3244:11:00","21.159","21.178","21.249","21.073"
"3244:12:00","21.160","21.179","21.252","21.076"
